School Name,City,State,Country,Website,Program Name,Degree Level,Accreditation Dates,Accredited Campus Locations,Criteria,Date of Next Comprehensive Review,Accredited By,International Mutual Recognition Aggreement
Abilene Christian University,Abilene,Texas,United States,http://www.acu.edu,Computer Science: Computing Theory Concentration,Bachelors,"Oct 1, 2013 – Present",Main Campus,Computer Science,2026-2027,CAC,Seoul Accord
Abilene Christian University,Abilene,Texas,United States,http://www.acu.edu,Engineering,Bachelors,"Oct 1, 2015 – Present",Main Campus,"Engineering, General Engineering, Engineering Physics, and Engineering Science",2028-2029,EAC,Washington Accord | Bilateral Engineers Canada
Vaughn College of Aeronautics and Technology,Flushing,New York,United States,www.vaughn.edu,Mechatronic Engineering,Bachelors,"Oct 1, 2011 – Present",Main Campus,Mechatronics and Robotics Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Vaughn College of Aeronautics and Technology,Flushing,New York,United States,www.vaughn.edu,Electrical Engineering,Bachelors,"Oct 1, 2019 – Present",Main Campus,Electrical and Electronics Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Vaughn College of Aeronautics and Technology,Flushing,New York,United States,www.vaughn.edu,Mechanical Engineering,Bachelors,"Oct 1, 2018 – Present",Main Campus,Mechanical Engineering,2025-2026,EAC,Washington Accord | Bilateral Engineers Canada
Vaughn College of Aeronautics and Technology,Flushing,New York,United States,www.vaughn.edu,Aeronautical Engineering Technology,Associates,"Oct 1, 1947 – Present",Main Campus,Aeronautical Engineering Technology,2025-2026,ETAC,Dublin Accord
Vaughn College of Aeronautics and Technology,Flushing,New York,United States,www.vaughn.edu,Electronic Engineering Technology - Avionics Concentration,Bachelors,"Oct 1, 2002 – Present",Main Campus,Electrical and Electronics Engineering Technology,2025-2026,ETAC,Sydney Accord
Vaughn College of Aeronautics and Technology,Flushing,New York,United States,www.vaughn.edu,Electronic Engineering Technology - Avionics Concentration,Associates,"Oct 1, 2002 – Present",Main Campus,Electrical and Electronics Engineering Technology,2025-2026,ETAC,Dublin Accord
Vaughn College of Aeronautics and Technology,Flushing,New York,United States,www.vaughn.edu,Mechanical Engineering Technology,Bachelors,"Oct 1, 2002 – Present",Main Campus,Mechanical Engineering Technology,2025-2026,ETAC,Sydney Accord
Vaughn College of Aeronautics and Technology,Flushing,New York,United States,www.vaughn.edu,Electronic Engineering Technology--General Electronics Option,Bachelors,"Oct 1, 2006 – Present",Main Campus,Electrical and Electronics Engineering Technology,2025-2026,ETAC,Sydney Accord
Air Force Institute of Technology,WPAFB,Ohio,United States,www.afit.edu,Aeronautical Engineering,Masters,"Oct 1, 1986 – Present",Main Campus,Aerospace Engineering,2027-2028,EAC,
Air Force Institute of Technology,WPAFB,Ohio,United States,www.afit.edu,Astronautical Engineering,Masters,"Oct 1, 1964 – Present",Main Campus,Aerospace Engineering,2027-2028,EAC,
Air Force Institute of Technology,WPAFB,Ohio,United States,www.afit.edu,Computer Engineering,Masters,"Oct 1, 1985 – Present",Main Campus,Computer Engineering,2027-2028,EAC,
Air Force Institute of Technology,WPAFB,Ohio,United States,www.afit.edu,Electrical Engineering,Masters,"Oct 1, 1975 – Sep 30, 1981, Oct 1, 1984 – Present",Main Campus,Electrical and Electronics Engineering,2027-2028,EAC,
Air Force Institute of Technology,WPAFB,Ohio,United States,www.afit.edu,Nuclear Engineering,Masters,"Oct 1, 1964 – Present",Main Campus,Nuclear and Radiological Engineering,2027-2028,EAC,
Air Force Institute of Technology,WPAFB,Ohio,United States,www.afit.edu,Systems Engineering,Masters,"Oct 1, 1975 – Present",Main Campus,Systems Engineering,2027-2028,EAC,
